date,temperature,humidity,luminosity
2019-12-04 16:36:22.510,22.1,26.7,340
2019-12-04 16:36:22.511,22.1,26.7,340
2019-12-04 16:36:22.511,22.1,26.7,340
2019-12-04 16:36:22.511,22.1,26.7,340
2019-12-04 16:36:22.511,22.1,26.8,340
2019-12-04 16:36:22.512,22.1,26.8,340
2019-12-04 16:36:22.512,22.1,26.8,312
2019-12-04 16:36:22.512,22.1,26.8,343
2019-12-04 16:36:22.512,22.1,27.0,337
2019-12-04 16:36:22.512,22.1,27.1,340
2019-12-04 16:36:22.513,22.1,27.1,340
2019-12-04 16:36:22.513,22.1,27.1,340
2019-12-04 16:36:22.513,22.1,27.0,340
2019-12-04 16:36:22.513,22.1,27.0,340
2019-12-04 16:36:22.514,22.1,27.0,340
2019-12-04 16:36:22.514,22.1,27.4,340
2019-12-04 16:36:22.514,22.1,27.4,340
2019-12-04 16:36:22.514,22.1,27.5,340
2019-12-04 16:36:22.515,22.1,27.5,340
2019-12-04 16:36:22.516,22.1,27.5,340
2019-12-04 16:36:22.516,22.1,27.4,340
2019-12-04 16:36:22.516,22.1,27.4,340
2019-12-04 16:36:22.517,22.1,27.4,337
2019-12-04 16:36:22.517,22.1,28.0,337
2019-12-04 16:36:22.517,22.1,28.7,340
2019-12-04 16:36:22.517,22.1,28.7,340
2019-12-04 16:36:22.518,22.1,28.9,337
2019-12-04 16:36:22.518,22.1,29.0,340
2019-12-04 16:36:22.519,22.1,28.9,337
2019-12-04 16:36:22.519,22.1,28.7,337
2019-12-04 16:36:22.519,22.1,28.5,340
2019-12-04 16:36:22.520,22.2,28.2,340
2019-12-04 16:36:22.520,22.2,28.0,340
2019-12-04 16:36:22.520,22.1,27.7,340
2019-12-04 16:36:22.520,22.1,27.5,340
2019-12-04 16:36:22.520,22.2,27.3,337
2019-12-04 16:36:22.521,22.2,27.2,331
2019-12-04 16:36:22.521,22.1,27.1,337
2019-12-04 16:36:22.521,22.2,27.0,337
2019-12-04 16:36:22.522,22.2,26.9,340
2019-12-04 16:36:22.522,22.1,26.8,343
2019-12-04 16:36:22.522,22.1,26.8,337
2019-12-04 16:36:22.522,22.1,26.8,340
2019-12-04 16:36:22.523,22.1,26.8,340
2019-12-04 16:36:22.523,22.2,26.8,337
2019-12-04 16:36:22.523,22.2,26.8,337
2019-12-04 16:36:22.542,22.2,26.8,337
2019-12-04 16:36:22.543,22.1,26.8,337
2019-12-04 16:36:22.543,22.2,26.8,340
2019-12-04 16:36:22.543,22.2,26.8,337
2019-12-04 16:36:22.544,22.2,26.9,337
2019-12-04 16:36:22.544,22.2,26.9,337
2019-12-04 16:36:22.544,22.2,27.0,337
2019-12-04 16:36:22.544,22.2,27.0,340
2019-12-04 16:36:22.545,22.2,27.0,337
2019-12-04 16:36:22.545,22.2,27.0,337
2019-12-04 16:36:22.545,22.2,27.0,340
2019-12-04 16:36:22.546,22.3,27.1,337
2019-12-04 16:36:22.546,22.2,27.0,340
2019-12-04 16:36:22.546,22.2,27.0,343
2019-12-04 16:36:22.546,22.2,27.0,340
2019-12-04 16:36:22.547,22.3,27.1,340
2019-12-04 16:36:22.547,22.3,27.1,340
2019-12-04 16:36:22.547,22.3,27.1,334
2019-12-04 16:36:22.547,22.2,27.1,340
2019-12-04 16:36:22.548,22.3,27.2,337
2019-12-04 16:36:22.548,22.3,27.3,337
2019-12-04 16:36:22.548,22.3,27.3,340
2019-12-04 16:36:22.548,22.3,27.3,340
2019-12-04 16:36:22.549,22.3,27.4,340
2019-12-04 16:36:22.549,22.3,27.4,340
2019-12-04 16:36:22.549,22.3,27.4,337
2019-12-04 16:36:22.550,22.3,27.5,337
2019-12-04 16:36:22.550,22.3,27.5,340
2019-12-04 16:36:22.550,22.3,27.4,340
2019-12-04 16:36:22.550,22.3,27.4,340
2019-12-04 16:36:22.551,22.3,27.4,340
2019-12-04 16:36:22.551,22.3,27.3,337
2019-12-04 16:36:22.551,22.3,27.3,337
2019-12-04 16:36:22.552,22.3,27.2,337
2019-12-04 16:36:22.552,22.3,27.2,337
2019-12-04 16:36:22.552,22.4,27.1,340
2019-12-04 16:36:22.553,22.3,27.1,340
2019-12-04 16:36:22.553,22.3,27.0,337
2019-12-04 16:36:22.553,22.3,27.0,337
2019-12-04 16:36:22.554,22.3,27.0,337
2019-12-04 16:36:22.554,22.3,27.0,331
2019-12-04 16:36:22.555,22.3,27.0,337
2019-12-04 16:36:22.555,22.3,27.0,340
2019-12-04 16:36:22.555,22.3,27.0,340
2019-12-04 16:36:22.556,22.3,26.9,337
2019-12-04 16:36:22.557,22.3,26.9,337
2019-12-04 16:36:22.557,22.3,26.9,337
2019-12-04 16:36:22.557,22.3,26.9,340
2019-12-04 16:36:22.558,22.3,26.9,340
2019-12-04 16:36:22.558,22.3,26.8,340
2019-12-04 16:36:22.581,22.3,26.8,337
2019-12-04 16:36:22.582,22.3,26.8,340
2019-12-04 16:36:22.582,22.3,26.8,340
2019-12-04 16:36:22.582,22.3,26.9,337
2019-12-04 16:36:22.583,22.4,26.8,343
2019-12-04 16:36:22.583,22.3,26.8,340
2019-12-04 16:36:22.584,22.4,26.8,343
2019-12-04 16:36:22.584,22.4,26.8,340
2019-12-04 16:36:22.584,22.4,26.8,340
2019-12-04 16:36:22.585,22.3,26.8,337
2019-12-04 16:36:22.585,22.4,26.8,340
2019-12-04 16:36:22.585,22.3,26.7,337
2019-12-04 16:36:22.586,22.4,26.7,340
2019-12-04 16:36:22.587,22.4,26.7,337
2019-12-04 16:36:22.587,22.4,26.6,340
2019-12-04 16:36:22.587,22.4,26.6,340
2019-12-04 16:36:22.587,22.4,26.7,337
2019-12-04 16:36:22.588,22.3,26.7,337
2019-12-04 16:36:22.588,22.4,26.6,337
2019-12-04 16:36:22.589,22.4,26.6,337
2019-12-04 16:36:22.589,22.4,26.6,337
2019-12-04 16:36:22.589,22.3,26.5,337
2019-12-04 16:36:22.590,22.3,26.5,337
2019-12-04 16:36:22.590,22.3,26.5,337
2019-12-04 16:36:22.590,22.3,26.5,337
2019-12-04 16:36:22.591,22.3,26.5,340
2019-12-04 16:36:22.591,22.3,26.5,340
2019-12-04 16:36:22.591,22.3,26.5,337
